riskFactor,1,2,3,4,5,6,7,8,9,10,long,short,corr_OCDay1,corr_CCDay1Gap1
liquidity10,0.6314842724766445,0.7540983918869623,0.7273414970217312,0.7699226601615744,0.8104490401805761,0.7774596518053825,0.7690943920854224,0.7638604590297922,0.7321797675034786,0.7981695727646517,2.8828468215469125,3.8530433106046513,0.012438507035093426,-0.014084624821037292
liquidity20,0.5526666765154239,0.6461229796345457,0.618468573739208,0.6751692450282256,0.7288930391757544,0.7066957533959322,0.693930721820971,0.6738544823339216,0.6266098338295644,0.6952023747884472,2.4924274749174034,3.4299838305561434,0.0076486857418543224,-0.01705215253582978
liquidity5,0.6395493906815427,0.768394957178593,0.7407564133870735,0.7838211993282962,0.8297166245353577,0.7937595533732928,0.7827451484144499,0.7766353656642753,0.7441915113386769,0.8121087715306518,2.9325219605755053,3.927048203326053,0.013463213722095479,-0.01061023471544558
logmktcap,-0.00468341339337879,-0.07310107979704371,-0.07498111211836751,-0.05519180559052396,-0.016263927892893167,-0.00235665114370716,-0.014153907016349734,-0.027422019629606553,-0.05293177513457855,-0.030746036937541202,-0.20795741089931397,-0.11312828081713516,0.018588946833356004,0.05414599103017793
momentum15,0.6681197874914043,0.7853927128944209,0.7569521481680119,0.801217643948846,0.8536051727709384,0.8215417119986073,0.808246696678594,0.7936997421772953,0.7703477237242141,0.845090794554743,3.0116822925026834,4.04744104734965,0.011856032869887376,0.012924781197064458
momentum30,0.5951401572855107,0.6898265198949665,0.6585453569396857,0.7226967477889427,0.7851223515272103,0.7658475057009323,0.7517513327396601,0.7279685376163052,0.6898563594555235,0.7540001209099149,2.6662087819091056,3.7205460870396307,0.0014279394768267589,0.014651663923687016
momentum5,0.2927409098667427,0.33836811367923336,0.32898750512100194,0.34240746007666534,0.42316975067219775,0.41199910322182426,0.39252208641450825,0.3703005862214396,0.3322335043702039,0.3975615810106859,1.3025039887436434,1.9302250309001736,0.0011328780506938006,0.028576042624523047
retvolatility30,0.6637485127026461,0.7495198955229623,0.7246420056848545,0.7889527021994874,0.8326038123310645,0.8036094615679256,0.7939827683303045,0.7776247414270459,0.7371898492771656,0.8288346476044586,2.9268631161099505,3.9450106329335055,0.01998888701358029,-0.01379761860909177
